Location,ME,,RMSE,,MAE,,,,,,,,,,,
,Bottom-Up,Regular,Bottom-Up,Regular,Bottom-Up,Regular,,,,,,,,,,
 Changins,-0.4,-0.5,1.0,1.1,0.7,0.7,,,,,,,,,,
Chateau,-0.6,-0.5,1.3,1.3,1.0,1.1,,,,,,,,,,
Debarcadere,-0.4,5.7,1.9,7.6,1.6,6.1,,,,,,,,,,
 Gare Nord,-0.5,2.0,1.7,3.7,1.5,2.8,,,,,,,,,,
 Gare Sud,-3.4,-6.5,5.2,7.0,4.0,6.6,,,,,,,,,,
Hopital,-0.1,-1.5,2.1,3.1,1.6,2.3,,,,,,,,,,
 Hostel,-1.5,-2.9,2.0,3.4,1.5,3.0,,,,,,,,,,
 La Plage,1.7,1.5,2.9,2.6,1.8,1.8,,,,,,,,,,
 Petit Perdtemps,-0.4,-1.0,0.9,1.4,0.6,1.1,,,,,,,,,,
 Piscine du Cossy,-1.0,-0.2,1.8,2.0,1.3,1.6,,,,,,,,,,
 Place de Savoie,0.1,-1.7,0.9,2.6,0.6,2.3,,,,,,,,,,
 Stade de Colovray,0.5,1.8,0.8,2.2,0.5,1.8,,,,,,,,,,
 Triangle de l'Etraz,0.2,-1.9,1.9,2.8,1.7,2.4,,,,,,,,,,
Aggregated,-5.8,NA,7.8,NA,5.9,NA,,,,,,,,,,
